154 602 2
154 982 2
154 2074 2
154 2495 2
154 2735 3
154 2792 2
154 2885 3
154 3519 2
154 4229 2
154 5171 2
154 5257 3
154 916 2
154 1039 2
154 1087 2
154 1197 2
154 1233 2
154 1407 2
154 2253 2
154 3947 3
154 4070 2
154 4181 2
154 4207 3
154 4270 2
154 4500 2
154 4841 2
154 4899 2
154 5146 3
154 5228 2
154 5323 2
154 5343 2
154 1722 2
154 4946 2
154 5345 2
154 5732 3
154 5782 2
154 220 2
154 721 2
154 1573 2
154 1682 2
154 2030 2
154 2134 2
154 2375 3
154 2424 2
154 2470 2
154 2554 2
154 2618 3
154 2815 3
154 3065 2
154 3263 2
154 3837 2
154 3906 2
154 4522 2
154 4626 2
154 5113 3
154 5123 2
154 5761 2
154 1189 2
154 3814 2
154 1311 3
154 1762 3
154 1968 3
154 2334 2
154 3327 2
154 4802 2
154 2826 2
154 3378 2
154 4003 2
154 4465 2
154 4225 2
154 1499 2
154 2757 2
154 3217 2
602 2735 2
602 3519 2
602 1223 2
602 668 2
602 1460 2
602 1630 2
602 1853 2
602 2774 2
602 3331 2
602 4349 2
602 4649 2
982 2735 2
982 5257 2
982 1446 2
982 4796 2
982 4946 2
982 1515 2
982 1890 2
982 3352 2
982 5164 2
982 5431 2
982 5885 2
1286 1592 2
1286 2104 2
1307 3998 2
1307 5086 2
1327 1646 2
1592 1994 3
1592 2254 2
1592 2281 3
1592 2295 2
1592 2368 2
1592 3834 2
1592 4040 2
1592 5706 3
1592 5789 2
1592 4028 2
1592 4856 2
1646 2197 2
1646 3998 2
1646 4975 2
1646 1689 2
1646 2690 3
1646 2821 2
1646 2848 2
1646 2931 2
1646 3122 3
1646 3405 2
1646 3850 3
1646 4056 2
1646 4455 3
1646 4721 2
1646 4910 2
1646 4959 2
1646 5207 2
1646 5467 2
1646 5717 2
1646 5788 2
1646 5798 2
1646 1667 2
1646 1929 2
1646 1944 2
1646 1970 2
1646 2639 2
1646 2815 2
1646 2844 2
1646 2886 2
1646 3355 2
