石零《永远的忠诚》
王朝柱《辛亥革命》
高满堂《温州一家人》
优秀导演奖
赵宝刚《北京青年》
张绍林《永远的忠诚》《杨善洲》
优秀男演员奖
张嘉译《营盘镇警事》《悬崖》《心术》《浮沉》
孙维民《五星红旗迎风飘扬2》
优秀女演员奖
殷桃《温州一家人》《延安爱情》
马苏《北京青年》《女人如花》

《辛亥革命》
一等奖
《国家命运》
《温州一家人》
《永远的忠诚》
《我的土地我的家》
《我们的法兰西岁月》
《先遣连》
《焦裕禄》
《中国地》
《国门英雄》
《营盘镇警事》
《誓言今生》
《木府风云》
《北京青年》
《刘伯承元帅》
《五星红旗迎风飘扬2》
《小麦进城》
《火蓝刀锋》
《东方》
《天堂秀》
《女人如花》
《杨善洲》
《断刺》
《奢香夫人》
《妈祖》
《夜凖》
《浮沉》
《全家福》
《丑角爸爸》
《心术》
《长白山下我的家》
《知青》
《延安爱情》
《孤军英雄》
《感动生命》
《圣天门口》
《独生子女的婆婆妈妈》
《向东是大海》
《悬崖》
《大学生士兵的故事2》
《聪明小空空》
《小小飞虎队》
《大秦帝国之纵横》
《琅琊榜》
现实题材优秀电视剧奖
《平凡的世界》
《父母爱情》
《马向阳下乡记》
《湄公河大案》
《于无声处》
《嘿，老头！》
《大路上》
《舰在亚丁湾》
《原乡》
重大题材优秀电视剧奖
《毛泽东》
《历史转折中的邓小平》
《东北抗日联军》
《北平无战事》
《寻路》
《太行山上》
优秀编剧奖
刘和平《北平无战事》
优秀导演奖
孔笙《北平无战事》《琅琊榜》《父母爱情》
优秀男演员奖
陈宝国《北平无战事》《原乡》《大河儿女》《湄公河大案》《老农民》
优秀女演员奖
梅婷《父母爱情》 [1]

《鸡毛飞上天》
《深海利剑》
《刑警队长》
《欢乐颂》
《安居》
《小别离》
历史题材优秀电视剧大奖
《于成龙》
《白鹿原》
《大军师司马懿之军师联盟》
《那年花开月正圆》
重大革命历史题材优秀电视剧大奖
《海棠依旧》
《彭德怀元帅》
《绝命后卫师》
《彝海结盟》
《热血军旗》
《三八线》
优秀编剧奖
申捷《鸡毛飞上天》《白鹿原》
优秀导演奖
陈力《海棠依旧》
优秀男演员奖
张桐《绝命后卫师》
优秀女演员奖
孙俪《那年花开月正圆》 [1]

《最美的青春》
《大江大河》
《急诊科医生》
《小欢喜》
年代·故事
《情满四合院》
《特赦1959》
《老酒馆》
《岁岁年年柿柿红》
信仰·初心
《换了人间》
《右玉和她的县委书记们》
《可爱的中国》
《伟大的转折》
《激情的岁月》
《外交风云》
《绝境铸剑》
《共产党人刘少奇》
优秀编剧奖
马继红《外交风云》
优秀导演奖
刘江《老酒馆》
优秀男演员奖
何冰《情满四合院》
优秀女演员奖
秦海璐《老酒馆》
《山海情》
《在一起》
《埃博拉前线》
《和平之舟》
《江山如此多娇》
优秀电视剧奖：《生活·故事》篇
《装台》
《巡回检察组》
《理想之城》
优秀电视剧奖：《信仰·使命》篇
《觉醒年代》
《功勋》
《跨过鸭绿江》
《大决战》
《绝密使命》
《叛逆者》
《香山叶正红》
《理想照耀中国》
优秀编剧奖
王三毛、未夕、小倔、磊子、邱玉洁、列那 《山海情》
优秀导演奖
张永新《觉醒年代》
优秀男演员奖
王雷《功勋》
优秀女演员奖
热依扎《山海情》 [4]
