奢香夫人
人世间
麻雀
江山如此多娇
雪域情
绝境铸剑
历史的天空
荀慧生
跨过鸭绿江
琅琊榜
镇长
木府风云
湄公河大案
井冈山
我是太阳
先遣连
李小龙传奇
三体
刑警队长
开端
家有儿女第一部
大秦帝国之纵横
共产党人刘少奇
小别离
爱情的边疆
救赎之路
红领章
走西口
少帅
金婚
海棠依旧
战争目光
彭雪枫
杨善洲
永生不忘
历史转折中的邓小平
火蓝刀锋
小留学生
国门英雄
大姐
壮士出川
大工匠
辣妈正传
觉醒年代
士兵突击
那年花开月正圆
毛泽东
陈云在临江
国家命运
媳妇的美好时代
小小的我
春草
中国式关系
营盘镇警事
十送红军
恰同学少年
大军师司马懿之军师联盟
天地粮人
母亲母亲
快乐星球第三部
亲爱的小孩
我的土地我的家
平凡的世界
记忆的证明
外交风云
丑角爸爸
欢乐颂
任长霞
东北抗日联军
陈赓大将
北风那个吹
大决战
延安爱情
北平无战事
叛逆者
安居
香樟树
老娘泪
漂亮的事
北京青年
老酒馆
心术
叶问
刘伯承元帅
走进石锁沟
父母爱情
庆余年
诺尔曼·白求恩
郭海的家事
守望幸福
都挺好
上将许世友
大江大河
长白山下我的家
于无声处
鸡毛飞上天
信仰·使命
台湾首任巡抚刘铭传
装台
精忠岳飞
换了人间
炫年华
生活·故事
朗读者第一季
对手
国家行动
花木兰传奇
香山叶正红
我的前半生
插树岭
知青
国家孩子
大明王朝1566嘉靖与海瑞
我们这十年
焦裕禄
中国式离婚
龙的牙医
长安十二时辰
嘿，老头！
江塘集中营
人民的名义
闯关东
台湾1895
绝密使命
初心
伟大的转折
五月槐花香
奥运在我家
花千骨
十万人家
陪你到世界之巅
好先生
血沃丰碑
咱们结婚吧
少年派
最美的青春
芈月传
在一起
春风十里不如你
急诊科医生
全家福
埃博拉前线
亮剑
名校
亲兄热弟
独生子女的婆婆妈妈
戈壁母亲
深海利剑
静静的白桦林
知否知否应是绿肥红瘦
白鹿原
王大花的革命生涯
马向阳下乡记
原乡
古战场传奇
夜凖
特赦1959
圣天门口
老农民
公安部长罗瑞卿的故事
震撼世界的七日
我们的法兰西岁月
三八线
誓言今生
领航
玉碎
澳门人家
天堂秀
彭德怀元帅
漂亮的李慧珍
东方
东归英雄传
正阳门下小女人
打狗棍
舞乐传奇
天下粮田
无愧苍生
鸣沙湾
山水间的家
五星红旗迎风飘扬2
太行山上
乔家大院
开讲啦
八路军
吕梁英雄传
大路上
舰在亚丁湾
贞姐
小欢喜
陆军一号
奋斗
天盛长歌
断刺
西圣地
“中国节日”系列节目2022季
温州一家人
美丽人生
红高粱
可爱的中国
幸福像花儿一样
女人如花
时代：卡列夫·布劳德的故事
种啥得啥
感动生命
功勋
永远的忠诚
辛亥革命
绝命后卫师
老有所依
小麦进城
大学生士兵的故事2
潜伏
百炼成钢
孤军英雄
特殊使命
砺剑
于成龙
春天里
和平之舟
雄关漫道
山海情
侦察兵的荣誉
三十而已
反叛的童谣
快乐星球
农夫/退伍军人
绝密押运
赵氏孤儿案
聂荣臻
浮沉
激情的岁月
周恩来在重庆
旋风少女
情满四合院
喜耕田的故事
岁岁年年柿柿红
聪明小空空
妈祖
理想之城
六年级的夏天
悬崖
女子监狱
右玉和她的县委书记们
都市外乡人
凤阳情
流金岁月
彝海结盟
理想照耀中国
有泪尽情流
成吉思汗
汉武大帝
巡回检察组
中国地
当家人
县委大院
中国往事
向东是大海
大河儿女
热血军旗
破冰行动
破阵
寻路
小小飞虎队
