group_like actor network analysis:
	Degree Centrality Top Actors in G:
		0.09326093899712552	1346412	刘桂芳
		0.08990737783455766	1313468	王劲松
		0.08527626956244011	1322731	刘奕君
		0.08431810923027787	1327391	蔡国庆
		0.08335994889811561	1116446	刘琳
		0.0828808687320345	1342986	李宏磊
		0.08272117534334078	1313546	徐敏
		0.08176301501117854	1376403	魏惠文
		0.08032577451293517	1358905	邵卓尧
		0.07665282657297988	1275625	陈荣峻
		0.07553497285212392	1345870	陈勉良
		0.07537527946343021	1320269	张龄心
		0.07393803896518684	1274572	刘江
		0.07266049185563718	1444593	李斌
		0.07138294474608751	1376691	曾健明
		0.07106355796870009	1316793	陈狄克
		0.07042478441392526	1316392	房子斌
		0.07026509102523155	1315173	鲁振顺
		0.06994570424784415	1274574	李海生
		0.06898754391568189	1325756	谭希和
		0.06866815713829448	1315056	蒋志光
		0.06802938358351965	1345877	苏恩磁
		0.06786969019482593	1352362	王宏
		0.06770999680613222	1357214	康群智
		0.06739061002874482	1346411	曾慧云
		0.06707122325135739	1372162	马波
		0.06675183647396998	1316515	杨证桦
		0.06659214308527626	1323990	陈牧扬
		0.06643244969658256	1274579	马海伦
		0.06643244969658256	1467312	魏至强
	Betweenness Centrality Top Actors in G:
		0.041794981235452944	1315477	万茜
		0.04009051285164032	1019718	佘诗曼
		0.029970493958836993	1328289	吴磊
		0.021331192814444077	1312915	张延
		0.020966988305946243	1313657	龚慈恩
		0.020072208495931665	1304613	古明华
		0.019179121311660257	1038521	罗嘉良
		0.018288596476152566	1116446	刘琳
		0.016514197011243768	1384857	邱秋
		0.014457360787838864	1326852	林夏薇
		0.01403985017689852	1043040	胡杏儿
		0.013593783397359527	1018257	樊少皇
		0.013496327450106734	1342986	李宏磊
		0.013141659518245063	1313030	李佳航
		0.01297180016484339	1315071	黄智贤
		0.012507534346744719	1115415	苗侨伟
		0.012102991844693049	1313468	王劲松
		0.01167707203408816	1005843	张兆辉
		0.011649239112210403	1047083	梅婷
		0.011518181896239283	1073994	张可颐
		0.011377235445252874	1323026	李建义
		0.011339156989474219	subject_search?search_text=%E7%8E%8B%E5%81%A5	王健
		0.011312675081157615	1313546	徐敏
		0.011125442057924631	1326722	葛珊珊
		0.01101626493599441	1312744	李天翔
		0.010515368293363725	1275293	焦恩俊
